#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms)
0.2, 0, 0.000, 0, 0, 0.000
1.234, 0, 0.000, 0, 0, 0.000
2.430, 0, 0.000, 0, 0, 0.000
3.622, 0, 0.000, 0, 0, 0.000
4.818, 0, 0.000, 0, 0, 0.000
5.1014, 921, 0.000, 0, 0, 0.000
6.1225, 921, 0.000, 0, 0, 63.410
7.1487, 921, 0.000, 0, 0, 63.410
8.1723, 243, 23.550, 0, 4268, 63.410
9.1932, 243, 23.406, 0, 4276, 63.410
10.2141, 243, 23.530, 0, 4285, 63.410
11.2371, 243, 23.444, 0, 4293, 63.410
12.2623, 243, 23.303, 0, 4300, 63.410
13.2851, 243, 23.169, 0, 2154, 55.150
14.3095, 243, 23.392, 0, 4316, 55.150
15.3313, 243, 23.529, 0, 4325, 55.150
16.3538, 243, 23.260, 0, 4334, 55.150
17.3776, 243, 21.806, 0, 4343, 55.150
18.4037, 243, 23.518, 0, 4351, 55.150
19.4271, 243, 23.653, 0, 4359, 55.150
20.4515, 243, 23.457, 0, 4368, 54.402
21.4728, 244, 25.402, 0, 4377, 54.402
22.4945, 243, 23.617, 0, 4386, 54.402
23.16098, 243, 23.573, 0, 0, 54.402
24.16305, 243, 23.253, 0, 0, 54.402
25.16506, 243, 23.473, 0, 0, 54.402
26.16711, 243, 23.435, 0, 0, 54.037
27.16912, 243, 23.404, 0, 0, 54.037
28.22715, 243, 23.551, 0, 0, 54.037
29.22924, 243, 23.413, 0, 0, 54.037
30.23133, 243, 23.629, 0, 0, 54.037
31.23339, 243, 23.047, 0, 0, 54.037
32.23554, 243, 23.513, 0, 0, 56.388
33.30594, 243, 23.274, 0, 0, 56.388
34.30800, 243, 23.334, 0, 0, 56.388
35.31008, 243, 23.514, 0, 0, 56.388
36.31234, 243, 23.409, 0, 0, 56.388
37.31447, 99, 2.352, 357504, 0, 56.388
38.37302, 242, 7.103, 3393628, 56412, 257.324
39.37544, 243, 23.383, 3360644, 36698, 1118.090
40.37802, 1447, 0.182, 5530672, 31379, 2709.805
41.38044, 243, 23.477, 6790980, 12764, 2709.805
42.38300, 1447, 0.184, 7432040, 12232, 4478.439
43.52691, 242, 14.786, 10227168, 25173, 4478.439
44.52928, 862, 21.449, 10206952, 25529, 6276.146
45.53168, 156, 3.635, 12507852, 144136, 7000.750
46.53416, 243, 23.085, 13256376, 286144, 8932.298
47.53656, 1448, 0.206, 13737836, 63291, 9637.496
48.58329, 162, 2.671, 16519664, 151971, 10869.768
49.58641, 243, 23.348, 12487104, 5113501, 9318.988
50.58896, 189, 3.530, 9830828, 4955402, 7668.856
51.59413, 243, 23.329, 7931056, 4555327, 6034.431
52.59679, 1447, 0.183, 3417568, 5092796, 4083.674
53.59933, 407, 0.234, 2304624, 3682466, 767.825
54.60218, 243, 23.628, 0, 5019, 584.287
55.60455, 1439, 0.308, 1596, 3605763, 10.935
56.60709, 243, 23.000, 0, 5045, 89.443
57.60937, 241, 6.327, 0, 12646, 21.997
58.61148, 1448, 0.194, 0, 3629174, 9.707
59.61382, 243, 23.355, 0, 5087, 11.485
60.61705, 587, 0.483, 0, 2456356, 5.948
61.61964, 97, 3.900, 0, 2554572, 11.552
62.62216, 243, 23.433, 0, 0, 10.356
63.62423, 897, 0.279, 289408, 3748304, 209.483
64.62675, 242, 12.368, 0, 0, 17.298
65.62904, 54, 15.478, 0, 20646, 15.804
66.63218, 1447, 0.300, 0, 2855459, 5.771
67.63525, 243, 23.225, 0, 5185, 18.955
68.63763, 587, 0.416, 0, 2473862, 9.951
69.63964, 1446, 0.328, 0, 2712822, 6.766
70.64264, 243, 23.220, 0, 5225, 61.123
71.64500, 1448, 0.301, 467096, 1731226, 237.783
72.64759, 242, 10.171, 0, 10526, 74.361
73.64999, 67, 10.822, 0, 18506, 74.361
74.65230, 587, 0.401, 0, 2096627, 19.189
75.65561, 243, 23.289, 0, 24291, 353.023
76.65800, 241, 3.621, 0, 18942, 353.023
77.66087, 587, 0.762, 0, 1945031, 6.279
78.66349, 242, 17.268, 0, 5440, 41.801
