Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms)
0.2, 0, 0.000, 0, 0, 0.000
1.261, 0, 0.000, 0, 0, 0.000
2.464, 0, 0.000, 0, 0, 0.000
3.665, 0, 0.000, 0, 0, 0.000
4.875, 0, 0.000, 0, 0, 0.000
5.1075, 921, 0.000, 0, 0, 0.000
6.1300, 921, 0.000, 0, 0, 54.754
7.1519, 921, 0.000, 0, 0, 54.754
8.1731, 243, 23.565, 0, 4265, 54.754
9.1950, 243, 23.476, 0, 4276, 54.754
10.2187, 243, 23.527, 0, 4287, 54.754
11.2409, 243, 23.451, 0, 4295, 54.754
12.2665, 243, 23.262, 0, 4303, 54.754
13.2909, 243, 23.176, 0, 2156, 55.302
14.3125, 243, 23.432, 0, 4321, 55.302
15.3372, 243, 23.485, 0, 4330, 55.302
16.3624, 243, 23.266, 0, 4337, 55.302
17.3849, 243, 21.801, 0, 4347, 55.302
18.4113, 243, 23.484, 0, 4356, 55.302
19.4339, 243, 23.672, 0, 4365, 55.302
20.4567, 243, 23.473, 0, 4373, 93.161
21.4794, 244, 25.393, 0, 4383, 93.161
22.5055, 243, 23.616, 0, 4390, 93.161
23.5276, 243, 23.573, 0, 4400, 93.161
24.5530, 243, 23.234, 0, 4408, 93.161
25.5770, 243, 23.426, 0, 4418, 93.161
26.5985, 243, 23.480, 0, 4427, 57.579
27.6205, 243, 23.455, 0, 4436, 57.579
28.6458, 243, 23.538, 0, 4444, 57.579
29.6672, 243, 23.404, 0, 4453, 57.579
30.6926, 243, 23.615, 0, 4462, 57.579
31.7155, 243, 27.442, 0, 2236, 57.579
32.7371, 243, 23.559, 0, 6723, 54.747
33.7600, 243, 23.275, 0, 4492, 54.747
34.7850, 243, 23.330, 0, 4502, 54.747
35.8084, 243, 23.470, 0, 4512, 54.747
36.8364, 243, 23.368, 0, 4521, 54.747
37.8596, 587, 0.296, 259616, 108744, 54.747
38.8889, 162, 2.892, 3381924, 56474, 974.589
39.9169, 243, 23.384, 3360644, 25528, 974.589
40.9434, 1448, 0.174, 5373200, 30315, 2798.116
41.9896, 243, 23.452, 6792044, 12762, 2798.116
42.10161, 1447, 0.198, 7368732, 12764, 2798.116
43.10421, 162, 3.955, 10238340, 13827, 5281.884
44.10664, 862, 21.416, 10230892, 13296, 5281.884
45.10896, 587, 0.342, 12145028, 297850, 7926.922
46.11168, 243, 23.102, 13084540, 330279, 8893.594
47.11417, 201, 2.563, 13298404, 192536, 9771.937
48.11669, 162, 2.565, 16146732, 224978, 10634.253
49.11941, 243, 23.308, 15632820, 532915, 11481.512
50.12224, 1448, 0.181, 14018732, 4406102, 10151.638
51.12481, 243, 23.288, 11276804, 5094347, 8481.552
52.12749, 400, 0.258, 7054320, 3826374, 6804.059
53.13109, 119, 0.311, 6712244, 5283853, 5152.439
54.13396, 243, 23.797, 3297336, 3345111, 3637.831
55.13657, 170, 3.117, 1736448, 3591717, 2181.512
56.13929, 243, 23.234, 491036, 3268786, 812.097
