#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms)
0.2, 0, 0.000, 0, 0, 0.000
1.248, 0, 0.000, 0, 0, 0.000
2.456, 0, 0.000, 0, 0, 0.000
3.652, 0, 0.000, 0, 0, 0.000
4.850, 0, 0.000, 0, 0, 0.000
5.1064, 921, 0.000, 0, 6522, 0.000
6.1315, 921, 0.000, 0, 0, 54.886
7.1532, 921, 0.000, 0, 0, 54.886
8.1769, 243, 23.623, 0, 4374, 54.886
9.1986, 243, 23.483, 0, 4383, 54.886
10.2201, 243, 23.688, 0, 4391, 54.886
11.14990, 243, 23.561, 0, 0, 54.886
12.15202, 243, 23.347, 0, 149439, 54.886
13.15448, 243, 23.250, 0, 0, 61.514
14.15658, 243, 23.464, 0, 0, 61.514
15.15863, 243, 23.563, 0, 0, 61.514
16.77657, 243, 23.530, 0, 16208, 61.514
17.77883, 243, 21.873, 0, 0, 61.514
18.78097, 243, 23.623, 0, 0, 61.514
19.78308, 243, 23.721, 0, 0, 61.514
20.78520, 243, 23.505, 0, 0, 55.617
21.82440, 244, 25.459, 0, 0, 55.617
22.82652, 243, 23.708, 0, 0, 55.617
23.82861, 243, 23.679, 0, 0, 55.617
24.83076, 243, 23.336, 0, 0, 55.617
25.83291, 243, 23.578, 0, 0, 55.617
26.142975, 243, 23.511, 0, 0, 54.867
27.143228, 243, 23.485, 0, 0, 54.867
28.143440, 243, 23.618, 0, 0, 54.867
29.143690, 243, 23.502, 0, 0, 54.867
30.143910, 243, 23.699, 0, 9055, 54.867
31.349662, 243, 29.391, 0, 14869, 54.867
32.349913, 243, 25.589, 0, 14960, 53.873
33.350134, 243, 23.433, 0, 15556, 53.873
34.350389, 243, 23.465, 0, 15674, 53.873
35.350610, 243, 23.825, 0, 0, 53.873
36.353787, 243, 23.375, 0, 0, 53.873
37.354005, 731, 0.237, 1258740, 0, 53.873
38.354264, 243, 23.287, 3407940, 185974, 983.107
39.354535, 241, 9.074, 3362580, 51379, 1699.602
40.354810, 587, 0.246, 6832620, 26991, 2960.556
41.370736, 243, 30.799, 6815340, 41991, 3765.866
42.370989, 1361, 0.293, 8760420, 28072, 5017.766
43.371254, 243, 23.200, 10287000, 26991, 5761.104
44.371517, 116, 13.844, 10443600, 12956, 5761.104
45.371752, 119, 0.236, 13581000, 218646, 8256.074
46.377240, 243, 23.275, 13329900, 259932, 9159.219
47.377492, 172, 6.218, 14571360, 354150, 10140.124
48.377797, 244, 23.213, 14751720, 1793863, 10651.462
49.378100, 241, 9.841, 11660220, 2771634, 9348.723
50.378368, 1447, 0.189, 13001580, 252294, 8395.247
51.378625, 243, 23.285, 12161340, 1872467, 9044.263
52.378892, 830, 0.464, 11989080, 1832535, 9628.800
53.379152, 242, 13.267, 13082580, 938728, 8770.807
54.379425, 54, 15.942, 11811420, 1441071, 9416.808
55.379704, 1447, 0.189, 13768920, 1386584, 10070.531
56.379966, 243, 23.475, 13369320, 1555462, 9313.093
57.380246, 587, 0.248, 13400100, 419976, 9963.512
58.380561, 242, 13.510, 14404500, 1516705, 10561.900
59.380854, 54, 15.676, 13402800, 1434107, 9726.403
60.381125, 1448, 0.171, 14047560, 2867938, 10156.659
61.381394, 243, 23.439, 12194820, 2191914, 8867.860
62.381679, 1448, 0.186, 10233540, 2762249, 7605.556
63.382080, 242, 12.372, 11032740, 2117093, 7999.614
64.382345, 53, 44.770, 8794980, 1389153, 6833.551
65.382604, 1439, 0.337, 10269720, 1901087, 7428.423
66.382883, 243, 23.229, 9168660, 1835229, 6365.935
67.383160, 1447, 0.182, 8774460, 2759069, 6915.588
68.383423, 243, 22.650, 8982900, 1344850, 5825.604
69.383728, 54, 16.607, 7666920, 1238947, 6438.394
70.384002, 1447, 0.195, 9023400, 2431662, 5676.808
71.384268, 243, 23.390, 7877520, 2724467, 6133.711
72.384591, 1439, 0.294, 6738660, 1792067, 5029.079
73.384860, 242, 0.766, 7521120, 1787233, 5499.790
74.385133, 862, 11.319, 6333120, 1949634, 4678.819
75.385390, 587, 0.680, 7217640, 2968613, 5204.413
76.385706, 243, 23.351, 5861700, 2758772, 3983.558
77.385987, 587, 0.254, 3539700, 3914243, 2611.585
78.386294, 242, 9.288, 3560760, 3438023, 2744.991
79.386567, 249, 2.761, 1317060, 2930421, 1585.217
80.386766, 1448, 0.187, 0, 3374603, 59.898
81.387015, 243, 23.265, 0, 7934, 98.448
82.387266, 1447, 0.189, 540, 3453851, 75.349
