#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms)
0.2, 0, 0.000, 0, 0, 0.000
1.260, 0, 0.000, 0, 0, 0.000
2.509, 0, 0.000, 0, 0, 0.000
3.731, 0, 0.000, 0, 0, 0.000
4.978, 0, 0.000, 0, 0, 0.000
5.1181, 921, 0.000, 0, 6442, 0.000
6.1420, 921, 0.000, 0, 0, 55.805
7.1652, 921, 0.000, 0, 0, 55.805
8.1931, 243, 23.590, 0, 4322, 55.805
9.2159, 243, 23.447, 0, 4330, 55.805
10.2406, 243, 23.505, 0, 4338, 55.805
11.2618, 243, 23.398, 0, 4346, 55.805
12.2853, 243, 23.259, 0, 4355, 55.805
13.3106, 243, 23.207, 0, 6543, 54.884
14.3362, 243, 23.420, 0, 4371, 54.884
15.3595, 243, 23.476, 0, 4380, 54.884
16.3860, 243, 23.218, 0, 4387, 54.884
17.4094, 243, 21.791, 0, 4396, 54.884
18.4319, 243, 23.487, 0, 4406, 54.884
19.4583, 243, 23.656, 0, 4414, 54.884
20.4833, 243, 23.462, 0, 4422, 54.332
21.5064, 244, 25.379, 0, 4431, 54.332
22.5317, 243, 23.564, 0, 4439, 54.332
23.5527, 243, 23.520, 0, 4448, 54.332
24.5753, 243, 23.237, 0, 4458, 54.332
25.5999, 243, 23.425, 0, 4466, 54.332
26.6246, 243, 23.470, 0, 4476, 54.630
27.6488, 243, 23.402, 0, 4486, 54.630
28.6740, 243, 23.527, 0, 4495, 54.630
29.6954, 243, 23.358, 0, 4504, 54.630
30.7182, 243, 23.252, 0, 0, 54.630
31.7451, 243, 27.433, 0, 2260, 54.630
32.7703, 243, 23.558, 0, 6795, 54.048
33.7949, 243, 23.268, 0, 4539, 54.048
34.8200, 243, 23.277, 0, 4548, 54.048
35.8423, 243, 23.509, 0, 4557, 54.048
36.8653, 243, 23.401, 0, 4567, 54.048
37.8913, 1439, 0.294, 244720, 109831, 54.048
38.9177, 242, 7.093, 3356920, 110074, 707.897
39.9466, 862, 7.305, 3308508, 117187, 1925.450
40.9794, 587, 0.389, 5407780, 112780, 2542.719
41.10113, 243, 23.472, 6660640, 28718, 3181.322
42.10359, 1448, 0.172, 7231476, 43612, 4873.740
43.12079, 162, 3.952, 10065440, 25491, 5586.463
44.12402, 862, 21.558, 10058524, 12764, 5586.463
45.13578, 1448, 6.611, 12287072, 14347, 5586.463
46.13857, 243, 23.050, 13504288, 12764, 5586.463
47.14046, 1447, 0.227, 13904884, 27126, 5586.463
48.14311, 162, 2.562, 16936752, 14891, 10602.040
49.14580, 243, 23.267, 16928240, 12764, 10602.040
50.14819, 637, 0.389, 18638088, 236682, 12797.012
51.15068, 243, 23.158, 20010116, 161154, 13517.859
52.15308, 1448, 0.199, 20147904, 46272, 14579.527
53.15570, 162, 2.472, 23193604, 249971, 15757.616
54.15832, 243, 23.657, 22752044, 538953, 16641.586
55.16110, 1448, 0.217, 22502536, 4033610, 15635.587
56.16360, 243, 23.057, 20674052, 840854, 15587.144
57.16616, 479, 0.262, 16701608, 4704832, 12462.529
58.16858, 163, 3.769, 15093904, 4686561, 10666.317
59.17111, 243, 23.395, 11773160, 4760173, 9008.370
60.17379, 134, 3.770, 9074324, 1854741, 7371.923
61.17630, 242, 21.935, 8116192, 3727577, 5891.833
62.17897, 49, 33.905, 3541524, 4691078, 3990.204
63.18161, 1447, 0.166, 1835932, 5032619, 687.791
64.18410, 243, 23.465, 0, 0, 501.352
65.18662, 1448, 0.215, 0, 3154133, 10.827
66.18920, 242, 12.985, 0, 8827, 16.002
67.19178, 53, 46.603, 0, 22157, 16.002
68.19403, 1447, 0.499, 0, 2606357, 63.888
69.19696, 243, 22.634, 0, 0, 10.232
70.19918, 241, 1.321, 0, 0, 10.232
71.20151, 1185, 0.247, 0, 2946714, 12.746
72.20415, 243, 23.373, 0, 9109, 7.116
73.20649, 1361, 1.091, 0, 3067981, 9.547
74.20899, 587, 0.506, 0, 2426663, 8.860
75.21140, 243, 23.442, 0, 9236, 9.223
76.21357, 1434, 0.712, 0, 1990406, 19.442
77.21622, 1447, 0.395, 0, 2322838, 10.166
78.21886, 243, 23.466, 0, 0, 4.692
79.22132, 1447, 0.418, 0, 2473585, 11.153
80.22386, 587, 0.402, 0, 2895192, 7.092
81.22636, 243, 23.291, 0, 9526, 119.391
82.22872, 587, 0.630, 0, 3206985, 14.149
83.23134, 162, 4.864, 0, 0, 9.544
84.23367, 862, 13.628, 0, 14547, 9.544
85.23599, 587, 0.670, 0, 0, 15.486
86.23830, 587, 0.670, 0, 0, 15.486
87.24054, 1439, 0.605, 532, 2028917, 9.144
88.24300, 1361, 1.052, 0, 1662173, 6.221
89.24543, 243, 23.472, 0, 10045, 178.921
90.24780, 1448, 0.487, 0, 2186079, 10.485
91.25040, 587, 0.840, 0, 1437357, 8.182
92.25275, 243, 23.232, 0, 10225, 15.158
93.25506, 241, 8.537, 0, 15425, 15.158
94.25720, 881, 0.340, 0, 3719454, 15.429
95.25979, 243, 23.404, 0, 10411, 16.426
96.26207, 1447, 0.250, 0, 2475342, 10.824
97.26455, 1447, 0.262, 185668, 4672919, 131.262
98.26809, 243, 23.275, 0, 0, 118.510
99.27062, 731, 0.286, 0, 3024125, 8.322
100.27304, 242, 10.077, 0, 0, 18.670
101.27544, 67, 13.118, 0, 10960, 18.670
102.27778, 1361, 0.311, 670852, 2047397, 259.548
103.28042, 27, 84.781, 0, 5612, 222.241
104.28315, 243, 23.409, 0, 4785, 28.345
105.28575, 243, 21.539, 0, 4254, 28.345
106.28815, 243, 23.148, 0, 4254, 28.345
107.29067, 243, 23.078, 0, 4254, 28.345
108.29310, 243, 23.119, 0, 4254, 28.345
109.29579, 243, 23.220, 0, 4254, 28.345
110.29820, 243, 23.231, 0, 4254, 28.345
111.30090, 243, 23.325, 0, 5849, 76.725
112.30342, 243, 23.044, 0, 16410, 76.725
113.30559, 243, 23.291, 0, 16567, 76.725
114.30792, 243, 23.485, 0, 16703, 76.725
115.31048, 244, 23.781, 0, 16825, 76.725
116.31277, 243, 22.794, 0, 0, 76.725
117.31536, 243, 23.055, 0, 17124, 60.830
118.31751, 243, 23.649, 0, 0, 60.830
119.31968, 243, 23.165, 0, 0, 60.830
120.32206, 243, 23.434, 0, 0, 60.830
121.32483, 243, 23.196, 0, 0, 60.830
122.32719, 243, 23.253, 0, 0, 60.830
123.32984, 243, 23.318, 0, 0, 32.968
124.33202, 243, 23.426, 0, 0, 32.968
125.33418, 243, 23.352, 0, 0, 32.968
126.33653, 243, 23.347, 0, 0, 32.968
127.33930, 243, 23.319, 0, 0, 32.968
128.34156, 243, 23.384, 0, 0, 32.968
129.34419, 243, 23.366, 0, 9451, 52.279
130.34636, 243, 21.164, 0, 0, 52.279
131.34857, 243, 23.482, 0, 0, 52.279
132.35087, 243, 23.386, 0, 19423, 52.279
133.35359, 243, 23.416, 0, 19572, 52.279
134.35595, 243, 23.807, 0, 0, 52.279
135.35858, 243, 23.477, 0, 0, 52.279
136.36074, 243, 23.444, 0, 0, 54.135
137.36290, 243, 23.284, 0, 0, 54.135
138.36540, 243, 25.337, 0, 0, 54.135
139.36821, 243, 23.378, 0, 0, 54.135
140.37049, 241, 3.214, 0, 0, 54.135
141.37385, 1448, 0.324, 4980584, 253212, 716.966
142.37895, 587, 0.255, 9374904, 42006, 1324.562
143.38149, 1448, 0.188, 14263984, 40420, 2029.511
144.52334, 1361, 1.323, 19160512, 26751, 3026.671
145.52585, 1448, 0.193, 24017672, 42548, 4711.474
146.52837, 1361, 1.056, 28908348, 12764, 4711.474
147.53081, 1448, 0.198, 33526640, 13295, 6216.905
148.53327, 1448, 0.215, 37950220, 14359, 7012.330
149.65565, 587, 0.320, 42730772, 266988, 8789.553
150.65813, 1448, 0.177, 44946552, 332946, 9785.003
151.66057, 587, 0.395, 49792540, 270720, 10706.776
152.66319, 1448, 0.245, 54066096, 314328, 11699.471
