Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms)
0.2, 0, 0.000, 0, 0, 0.000
1.322, 0, 0.000, 0, 0, 0.000
2.563, 0, 0.000, 0, 0, 0.000
3.777, 0, 0.000, 0, 0, 0.000
4.999, 0, 0.000, 0, 0, 0.000
5.1205, 921, 0.000, 0, 6429, 0.000
6.1489, 921, 0.000, 0, 0, 56.020
7.1707, 921, 0.000, 0, 0, 56.020
8.1968, 243, 23.671, 0, 4331, 56.020
9.2214, 243, 23.473, 0, 4366, 56.020
10.2450, 243, 23.561, 0, 4389, 56.020
11.2683, 243, 23.572, 0, 4427, 56.020
12.3017, 243, 23.376, 0, 0, 56.020
13.3228, 243, 23.334, 0, 6750, 55.145
14.3454, 243, 23.550, 0, 4540, 55.145
15.3683, 243, 23.624, 0, 4577, 55.145
16.3939, 243, 23.396, 0, 4617, 55.145
17.4179, 243, 21.908, 0, 4660, 55.145
18.4451, 243, 23.595, 0, 4700, 55.145
19.4663, 243, 23.781, 0, 4740, 55.145
20.4882, 243, 23.626, 0, 4784, 56.698
21.5113, 244, 25.503, 0, 4825, 56.698
22.5368, 243, 23.730, 0, 4871, 56.698
23.5608, 243, 23.632, 0, 4917, 56.698
24.5879, 243, 23.302, 0, 4935, 56.698
25.6095, 243, 23.531, 0, 4950, 56.698
26.6315, 243, 23.592, 0, 4966, 54.921
27.6536, 243, 23.573, 0, 4982, 54.921
28.6781, 243, 23.693, 0, 4996, 54.921
29.7035, 243, 23.452, 0, 0, 54.921
30.7307, 243, 23.381, 0, 0, 54.921
31.7517, 243, 27.570, 0, 2521, 54.921
32.7733, 243, 23.684, 0, 7591, 54.111
33.7968, 243, 23.441, 0, 5078, 54.111
34.8219, 243, 23.472, 0, 5093, 54.111
35.8468, 243, 23.574, 0, 5110, 54.111
36.8738, 243, 23.480, 0, 5126, 54.111
37.8949, 587, 0.343, 82992, 123458, 54.111
38.9175, 162, 2.874, 3368624, 131653, 853.566
39.9434, 243, 23.362, 3293080, 62106, 1719.051
40.9711, 1447, 0.174, 5280100, 0, 2592.828
41.10035, 243, 23.487, 6669684, 30845, 2592.828
42.10308, 1448, 0.220, 7153272, 38825, 4622.548
43.10559, 162, 3.984, 10077144, 28188, 5298.063
44.10831, 243, 23.303, 10069164, 12232, 5298.063
45.11085, 587, 0.211, 12173756, 12764, 5298.063
46.11405, 243, 23.085, 13530888, 0, 5298.063
47.11637, 587, 0.217, 13890520, 14359, 9618.522
48.11891, 162, 2.559, 16762256, 230828, 10842.436
49.12137, 243, 23.256, 16563820, 206365, 11764.020
50.12381, 189, 3.414, 18338040, 134031, 12642.026
51.12629, 243, 23.175, 19749968, 159028, 13680.173
52.12878, 1434, 0.571, 19616436, 306887, 14624.417
53.13138, 162, 2.396, 22574888, 347836, 15532.103
54.13381, 243, 23.610, 22451464, 130307, 16464.379
55.13658, 847, 0.256, 24403372, 76053, 17199.809
56.13896, 243, 23.358, 25689216, 164880, 18413.363
57.14129, 587, 0.273, 25938724, 99460, 19291.211
58.22907, 162, 2.373, 28975380, 91234, 20446.215
59.23155, 244, 23.414, 28835996, 145731, 21394.947
60.23403, 1439, 0.257, 30477216, 69674, 22293.447
