#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms)
0.2, 0, 0.000, 0, 0, 0.000
1.239, 0, 0.000, 0, 0, 0.000
2.476, 0, 0.000, 0, 0, 0.000
3.711, 0, 0.000, 0, 0, 0.000
4.947, 0, 0.000, 0, 0, 0.000
5.1136, 921, 0.000, 0, 6623, 0.000
6.1354, 921, 0.000, 0, 0, 56.169
7.1613, 921, 0.000, 0, 0, 56.169
8.1845, 243, 23.602, 0, 4444, 56.169
9.2123, 243, 23.400, 0, 4452, 56.169
10.2360, 243, 23.508, 0, 4461, 56.169
11.2561, 243, 23.403, 0, 4470, 56.169
12.2780, 243, 23.255, 0, 0, 56.169
13.3037, 243, 23.220, 0, 6733, 56.229
14.3288, 243, 23.379, 0, 4498, 56.229
15.3527, 243, 23.480, 0, 4508, 56.229
16.3769, 243, 23.216, 0, 4517, 56.229
17.3974, 243, 21.837, 0, 4528, 56.229
18.4199, 243, 23.522, 0, 4539, 56.229
19.4447, 243, 23.638, 0, 4547, 56.229
20.4693, 243, 23.481, 0, 4557, 54.212
21.4937, 244, 25.380, 0, 4566, 54.212
22.5173, 243, 23.571, 0, 4577, 54.212
23.5376, 243, 23.562, 0, 4588, 54.212
24.5614, 243, 23.252, 0, 4598, 54.212
25.5859, 243, 23.417, 0, 4607, 54.212
26.6067, 243, 23.485, 0, 4619, 53.921
27.6292, 243, 23.398, 0, 4629, 53.921
28.6495, 243, 23.555, 0, 4640, 53.921
29.6718, 243, 23.353, 0, 4650, 53.921
30.6947, 243, 23.253, 0, 0, 53.921
31.7202, 243, 27.437, 0, 4669, 53.921
32.7413, 243, 23.511, 0, 7021, 54.267
33.7674, 243, 23.273, 0, 4691, 54.267
34.7899, 243, 23.282, 0, 4703, 54.267
35.8104, 243, 23.519, 0, 4714, 54.267
36.8337, 243, 23.414, 0, 4725, 54.267
37.8588, 1448, 0.205, 224640, 113631, 54.267
38.8838, 162, 2.871, 3457080, 49700, 938.913
39.9402, 243, 23.434, 3448440, 12952, 938.913
40.9639, 587, 0.233, 5538240, 41029, 2924.251
41.9873, 243, 23.453, 6908220, 25913, 2924.251
42.10125, 1448, 0.175, 7516800, 14575, 4449.376
43.10390, 162, 3.954, 10392840, 26452, 5484.839
44.10631, 862, 21.450, 10385820, 12956, 5484.839
45.10871, 587, 0.229, 12739140, 0, 5484.839
46.11123, 243, 23.053, 13910400, 1618, 8486.656
47.11355, 874, 0.326, 14333760, 27533, 8486.656
48.11629, 587, 0.250, 15592500, 1792799, 10506.693
49.11932, 243, 23.294, 12104100, 3623864, 9099.792
50.12233, 897, 0.326, 9514260, 3708188, 7507.097
51.12485, 242, 20.549, 8284680, 2712994, 6053.078
52.12744, 49, 20.393, 4179600, 3311866, 4330.906
53.13000, 1447, 0.191, 3858300, 2636867, 2699.551
54.13266, 243, 23.632, 64260, 4130305, 1145.906
55.13512, 1439, 0.264, 540, 2510542, 15.646
56.13789, 243, 23.017, 394200, 0, 209.905
57.14034, 241, 6.329, 0, 18958, 154.315
58.14256, 508, 0.312, 1798740, 123555, 469.033
59.14518, 243, 23.451, 1382400, 1284239, 1187.001
60.14780, 1316, 3.673, 540, 3216865, 8.089
61.15012, 114, 4.625, 196560, 1999342, 149.029
62.15257, 243, 23.423, 0, 0, 231.018
63.15508, 897, 0.293, 0, 3342228, 14.408
64.15749, 243, 23.210, 0, 4834, 13.688
65.15979, 1448, 0.200, 0, 719644, 12.818
66.16246, 587, 0.271, 0, 3463407, 72.659
67.16492, 243, 23.333, 0, 4872, 76.214
68.16723, 205, 7.217, 0, 2903160, 12.740
69.16967, 243, 22.614, 0, 4942, 53.598
70.17189, 241, 1.311, 0, 17344, 53.598
71.17418, 1361, 1.312, 0, 1816453, 26.193
72.17674, 243, 23.097, 0, 4996, 10.033
73.17942, 1448, 0.188, 0, 728585, 169.502
74.18223, 1448, 0.272, 0, 2950873, 11.852
75.18519, 243, 23.367, 0, 5045, 32.763
76.18731, 1041, 0.216, 509760, 1555248, 195.291
77.18982, 242, 17.257, 0, 0, 142.756
78.19205, 53, 28.255, 0, 12715, 142.756
79.19432, 587, 0.528, 0, 2915846, 20.434
80.19674, 243, 23.317, 0, 5144, 13.989
81.19923, 587, 0.307, 384480, 1686459, 154.030
82.20163, 162, 4.842, 0, 1257775, 180.422
83.20418, 73, 12.532, 0, 18196, 180.422
84.20671, 587, 0.415, 0, 0, 11.795
85.20921, 587, 0.415, 0, 0, 11.795
86.21116, 1447, 0.177, 1036260, 1503835, 365.424
87.21359, 243, 23.196, 0, 5269, 113.450
88.21585, 71, 14.478, 0, 15854, 113.450
89.21825, 1447, 0.347, 0, 2631027, 9.801
90.22083, 243, 23.525, 0, 5330, 128.085
91.22339, 306, 0.517, 0, 1944867, 52.662
92.22624, 1448, 0.267, 1080, 3496973, 10.967
93.22940, 243, 23.407, 0, 5394, 32.430
94.23175, 1447, 0.295, 0, 2683016, 8.079
95.23426, 328, 0.355, 0, 2655219, 8.777
96.23674, 243, 23.342, 0, 0, 4.877
97.23920, 141, 11.526, 0, 2980728, 11.679
98.24165, 242, 10.155, 0, 0, 116.026
99.24411, 54, 15.822, 0, 13808, 116.026
100.24684, 536, 0.339, 0, 2884457, 14.299
101.24989, 243, 23.465, 0, 5553, 11.650
102.25217, 243, 23.464, 0, 5565, 19.417
103.25453, 243, 21.588, 0, 5579, 19.417
104.25698, 243, 24.140, 0, 0, 19.417
105.25947, 243, 22.983, 0, 0, 19.417
106.26159, 243, 23.171, 0, 0, 19.417
107.26380, 243, 23.138, 0, 0, 19.417
108.26610, 243, 23.147, 0, 0, 19.417
109.26901, 243, 22.987, 0, 5660, 10.206
110.27127, 243, 22.587, 0, 5676, 10.206
111.27376, 243, 23.207, 0, 5689, 10.206
112.27585, 243, 23.126, 0, 5704, 10.206
113.27811, 243, 23.076, 0, 5720, 10.206
114.28078, 243, 22.809, 0, 5735, 10.206
115.28329, 243, 23.231, 0, 5749, 7.626
116.28563, 243, 23.591, 0, 5764, 7.626
117.28811, 243, 23.093, 0, 5778, 7.626
118.29027, 243, 23.384, 0, 5796, 7.626
119.29274, 243, 23.168, 0, 5813, 7.626
120.29527, 243, 23.263, 0, 5826, 7.626
121.29770, 243, 23.345, 0, 5841, 7.626
122.29988, 243, 23.395, 0, 5856, 985.324
123.30204, 243, 23.306, 0, 5873, 985.324
124.30446, 243, 23.323, 0, 0, 985.324
125.30674, 243, 23.337, 0, 0, 985.324
126.30912, 243, 23.319, 0, 0, 985.324
127.31135, 243, 23.401, 0, 0, 985.324
128.31363, 243, 25.407, 0, 5952, 112.492
129.31593, 243, 23.346, 0, 5967, 112.492
130.31821, 243, 23.405, 0, 5984, 112.492
131.32054, 243, 22.760, 0, 6001, 112.492
132.32338, 243, 23.834, 0, 6016, 112.492
133.32558, 243, 23.450, 0, 6034, 112.492
134.32794, 243, 23.381, 0, 6050, 173.838
135.33008, 243, 23.216, 0, 6068, 173.838
136.33237, 243, 25.287, 0, 6085, 173.838
137.33461, 243, 23.331, 0, 0, 173.838
138.33708, 54, 17.204, 0, 24482, 173.838
139.33946, 1437, 0.223, 2034720, 4850647, 489.314
140.34202, 587, 0.232, 2058480, 4750714, 522.035
141.34458, 1448, 0.328, 3133620, 1295651, 727.432
142.34721, 1447, 0.198, 4455000, 2803119, 993.038
143.34980, 587, 0.258, 5146200, 5106880, 1262.468
144.35200, 1447, 0.192, 5122440, 4729529, 1292.999
145.35440, 998, 0.174, 6606360, 3423605, 1461.288
146.35687, 587, 0.213, 7737120, 1919373, 1699.811
147.35937, 1447, 0.239, 8082180, 6319979, 2069.542
148.36208, 1447, 0.178, 8032500, 3686372, 2035.679
149.36474, 998, 0.331, 7098300, 4401073, 2183.477
150.36738, 587, 0.235, 6900660, 3616574, 2293.226
151.36982, 587, 0.272, 8811720, 3216889, 2044.829
152.37244, 1447, 0.290, 10382040, 4838520, 2321.563
153.37495, 1448, 0.830, 9589320, 3924611, 2484.998
154.37759, 587, 0.313, 10919340, 4311777, 2778.311
155.38029, 1447, 0.298, 12610080, 4947155, 3024.619
156.38294, 1361, 1.143, 9593100, 2609103, 3134.526
157.38542, 1361, 1.143, 5925420, 2158007, 3434.446
158.38796, 1447, 0.218, 4756860, 4535121, 3761.610
159.39037, 186, 3.836, 6075000, 4266073, 4023.778
160.39294, 1447, 0.206, 7629120, 2333046, 1893.167
161.39554, 587, 0.301, 9359820, 2729000, 2185.988
162.39815, 587, 0.306, 10065060, 3585801, 2520.276
163.40056, 587, 0.342, 11220660, 4497299, 2769.931
164.40306, 998, 0.216, 11912940, 4356467, 2983.416
165.40558, 1447, 0.185, 12469140, 3157853, 3072.723
166.40816, 1448, 0.354, 14278140, 1839152, 3282.728
167.41320, 1448, 0.178, 15521220, 4275649, 3594.809
168.41576, 1448, 0.328, 14894280, 2080193, 3902.926
169.41819, 587, 0.419, 15854400, 5147514, 4176.965
170.42118, 1439, 0.348, 17777340, 2642582, 4421.924
171.42374, 219, 8.404, 19507500, 2968927, 4792.151
172.42638, 1448, 0.189, 20120400, 2349625, 5001.354
173.42903, 587, 0.241, 21070260, 4731052, 4836.773
174.43166, 587, 0.279, 22028220, 3123170, 5004.569
175.43424, 1448, 0.191, 24342660, 2688581, 5419.196
176.43677, 587, 0.295, 25739640, 2233859, 5679.238
177.43928, 587, 0.401, 29839320, 322223, 6424.585
178.44176, 1448, 0.540, 31537080, 1650067, 7212.816
179.44444, 1448, 0.209, 35998020, 0, 7931.159
180.44717, 1447, 0.251, 37927980, 4803959, 8577.106
181.45158, 1448, 0.501, 38989620, 2653309, 8763.011
182.45409, 1448, 0.202, 39855240, 3923386, 8975.230
183.45660, 998, 0.300, 41718240, 3179491, 9182.751
184.45906, 1448, 0.248, 42985620, 3607713, 9468.739
185.46180, 1448, 0.200, 43573680, 4429346, 9562.513
186.46446, 587, 0.363, 44120160, 3416209, 9789.798
187.46696, 1448, 0.231, 45363240, 2645018, 10151.892
188.47085, 243, 23.670, 42630840, 4228535, 10029.850
189.47388, 243, 23.210, 39320100, 3276206, 10398.755
190.47647, 243, 23.317, 36248040, 2855165, 10701.859
191.47905, 243, 23.233, 33785100, 799972, 11041.479
192.48162, 243, 23.534, 29662740, 3458256, 11290.463
193.48405, 243, 23.283, 26374140, 2216537, 11689.100
194.48654, 243, 23.321, 22906260, 3761500, 12047.938
195.48901, 243, 23.241, 20272680, 2499935, 12413.095
196.49162, 243, 23.444, 17020260, 1471751, 12631.041
197.49422, 243, 23.220, 14023260, 2830265, 13070.787
198.49683, 244, 23.534, 10192500, 4197574, 13241.333
199.49945, 244, 25.186, 6261840, 3148171, 13420.907
200.50195, 243, 23.292, 2711340, 4349514, 13642.796
201.50450, 243, 22.379, 0, 51769, 13721.144
202.50693, 243, 23.035, 0, 0, 929.630
203.50966, 243, 22.030, 0, 0, 929.630
204.51233, 243, 23.513, 0, 0, 929.630
205.51456, 243, 23.325, 0, 9580, 929.630
206.51711, 243, 23.575, 0, 9622, 929.630
207.51926, 243, 23.746, 0, 9669, 929.630
208.52142, 243, 23.345, 0, 9714, 195.504
209.52394, 243, 23.040, 0, 9759, 195.504
210.52658, 243, 23.149, 0, 9800, 195.504
211.52879, 243, 23.288, 0, 9846, 195.504
212.53126, 243, 23.314, 0, 9895, 195.504
213.53368, 243, 23.365, 0, 0, 195.504
214.53592, 243, 23.180, 0, 0, 27.919
215.53821, 243, 24.007, 0, 0, 27.919
216.54092, 243, 23.127, 0, 0, 27.919
217.54319, 243, 23.320, 0, 0, 27.919
218.54575, 243, 23.085, 0, 0, 27.919
219.54806, 243, 23.151, 0, 0, 27.919
