#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms), BT_ON, WFD_ON
0.3, 0, 0.000, 0, 0, 0.000, 2, 0
1.253, 0, 0.000, 0, 0, 0.000, 2, 0
2.483, 0, 0.000, 0, 0, 0.000, 2, 0
3.707, 0, 0.000, 0, 0, 0.000, 2, 0
4.959, 0, 0.000, 0, 0, 0.000, 2, 0
5.1203, 921, 0.000, 0, 6514, 0.000, 2, 0
6.110678, 921, 0.000, 0, 0, 58.251, 2, 0
7.110921, 921, 0.000, 0, 0, 58.251, 2, 0
8.111202, 243, 23.568, 0, 0, 58.251, 2, 0
9.111462, 243, 23.463, 0, 0, 58.251, 2, 0
10.111689, 243, 23.605, 0, 0, 58.251, 2, 0
11.111922, 243, 23.457, 0, 0, 58.251, 2, 0
12.112153, 243, 23.312, 0, 10341, 58.251, 2, 0
13.112383, 243, 23.165, 0, 10395, 55.301, 2, 0
14.112598, 243, 23.317, 0, 10448, 55.301, 2, 0
15.112816, 243, 23.665, 0, 10497, 55.301, 2, 0
16.113037, 243, 23.503, 0, 10546, 55.301, 2, 0
17.113272, 243, 23.525, 0, 10591, 55.301, 2, 0
18.113504, 243, 23.407, 0, 10648, 55.301, 2, 0
19.113731, 243, 23.642, 0, 0, 55.301, 2, 0
20.113943, 243, 23.421, 0, 0, 54.244, 2, 0
21.114157, 244, 25.436, 0, 0, 54.244, 2, 0
22.114377, 243, 23.567, 0, 0, 54.244, 2, 0
23.114614, 243, 23.580, 0, 0, 54.244, 2, 0
24.114845, 243, 23.209, 0, 0, 54.244, 2, 0
25.115069, 243, 23.413, 0, 0, 54.244, 2, 0
26.115278, 243, 23.431, 0, 0, 54.078, 2, 0
27.115489, 243, 23.461, 0, 0, 54.078, 2, 0
28.115712, 243, 23.531, 0, 0, 54.078, 2, 0
29.115959, 243, 23.407, 0, 0, 54.078, 2, 0
30.116187, 243, 23.654, 0, 0, 54.078, 2, 0
31.116425, 243, 22.988, 0, 11348, 54.078, 2, 0
32.116641, 243, 23.508, 0, 11415, 54.361, 2, 0
33.116869, 243, 23.358, 0, 11469, 54.361, 2, 0
34.117098, 243, 23.645, 0, 11525, 54.361, 2, 0
35.117348, 243, 23.669, 0, 11573, 54.361, 2, 0
36.117582, 243, 23.351, 0, 11634, 54.361, 2, 0
37.117780, 1313, 2.378, 597780, 52638, 134.131, 2, 0
38.118043, 242, 7.112, 3432240, 53205, 904.952, 2, 1
39.118293, 862, 7.291, 3410100, 28611, 1916.231, 2, 1
40.118535, 1448, 0.180, 5870880, 38329, 2552.537, 2, 1
41.118812, 243, 23.474, 6882300, 12956, 2552.537, 2, 1
42.119104, 1448, 0.288, 7714980, 28610, 4121.516, 2, 1
43.119357, 242, 15.015, 10366920, 13495, 5451.136, 2, 1
44.119601, 67, 6.830, 10303740, 69642, 5451.136, 0, 2
45.119845, 1447, 0.221, 12675420, 232141, 7993.985, 0, 2
46.120109, 241, 13.853, 13332060, 274786, 8892.693, 0, 2
47.120389, 342, 0.211, 11076480, 4650465, 9149.008, 0, 2
48.120687, 1447, 0.191, 9285300, 5094115, 5941.318, 0, 2
49.120936, 243, 23.364, 4646160, 4920670, 4187.975, 0, 2
50.121195, 897, 0.228, 2184840, 4603386, 2232.548, 0, 2
