#Timeval(sec), EMA_ReqSize(B), EMA_IAT(ms), SQ_Length(B), Bandwidth(B/s), EMA_RTT(ms), BT_State, WFD_State
0.2, 0, 0.000, 0, 0, 0.000, 2, 0
0.250281, 0, 0.000, 0, 0, 0.000, 2, 0
0.500499, 0, 0.000, 0, 0, 0.000, 2, 0
0.750667, 0, 0.000, 0, 0, 0.000, 2, 0
1.837, 0, 0.000, 0, 0, 0.000, 2, 0
1.251135, 0, 0.000, 0, 0, 0.000, 2, 0
1.501301, 0, 0.000, 0, 0, 0.000, 2, 0
1.751504, 0, 0.000, 0, 0, 0.000, 2, 0
2.1671, 0, 0.000, 0, 0, 0.000, 2, 0
2.251836, 0, 0.000, 0, 0, 0.000, 2, 0
2.502038, 0, 0.000, 0, 0, 0.000, 2, 0
2.752204, 0, 0.000, 0, 0, 0.000, 2, 0
3.2416, 0, 0.000, 0, 0, 0.000, 2, 0
3.252643, 0, 0.000, 0, 0, 0.000, 2, 0
3.502813, 0, 0.000, 0, 0, 0.000, 2, 0
3.753021, 0, 0.000, 0, 0, 0.000, 2, 0
4.3208, 0, 0.000, 0, 0, 0.000, 2, 0
4.253419, 0, 0.000, 0, 0, 0.000, 2, 0
4.503590, 0, 0.000, 0, 0, 0.000, 2, 0
4.753790, 0, 0.000, 0, 0, 0.000, 2, 0
5.4003, 921, 0.000, 0, 6474, 0.000, 2, 0
5.254231, 921, 0.000, 0, 2158, 54.882, 2, 0
5.504451, 921, 0.000, 0, 0, 54.882, 2, 0
5.754626, 921, 0.000, 0, 0, 54.882, 2, 0
6.4797, 921, 0.000, 0, 0, 54.882, 2, 0
6.255010, 921, 0.000, 0, 0, 54.882, 2, 0
6.505221, 921, 0.000, 0, 0, 54.882, 2, 0
6.755400, 921, 0.000, 0, 0, 54.882, 2, 0
7.5574, 921, 0.000, 0, 0, 54.882, 2, 0
7.255808, 921, 0.000, 0, 0, 54.882, 2, 0
7.506071, 243, 0.162, 0, 12946, 54.882, 2, 0
7.756302, 243, 18.177, 0, 4316, 54.882, 2, 0
8.6503, 243, 23.565, 0, 4316, 54.882, 2, 0
8.256692, 243, 23.348, 0, 4316, 54.882, 2, 0
8.506919, 243, 23.375, 0, 4316, 54.882, 2, 0
8.757116, 243, 23.397, 0, 4316, 54.882, 2, 0
9.7331, 243, 23.508, 0, 4316, 54.882, 2, 0
9.257543, 243, 23.416, 0, 4316, 54.882, 2, 0
9.507750, 243, 23.496, 0, 4316, 54.882, 2, 0
9.757975, 243, 23.532, 0, 4316, 54.882, 2, 0
10.8178, 243, 23.584, 0, 4316, 54.882, 2, 0
10.258407, 243, 23.538, 0, 4316, 54.882, 2, 0
10.508636, 243, 23.447, 0, 4316, 54.882, 2, 0
10.758860, 243, 23.374, 0, 4316, 54.882, 2, 0
11.9087, 243, 23.524, 0, 4316, 54.882, 2, 0
11.259313, 243, 23.292, 0, 4316, 54.882, 2, 0
11.509502, 243, 23.443, 0, 4316, 54.882, 2, 0
11.759694, 243, 23.267, 0, 4316, 54.882, 2, 0
12.9889, 42, 228.713, 0, 2158, 54.882, 2, 0
12.260118, 243, 23.544, 0, 2158, 54.882, 2, 0
12.510350, 243, 23.265, 0, 4316, 54.882, 2, 0
12.760552, 243, 23.401, 0, 4316, 54.882, 2, 0
13.10747, 243, 23.177, 0, 6474, 36.542, 2, 0
13.261049, 243, 23.267, 0, 4314, 36.542, 2, 0
13.511283, 243, 23.234, 0, 4315, 36.542, 2, 0
13.761525, 243, 23.463, 0, 4315, 36.542, 2, 0
14.11751, 243, 23.488, 0, 4316, 36.542, 2, 0
14.261981, 243, 23.418, 0, 4316, 36.542, 2, 0
14.512219, 243, 23.358, 0, 4315, 36.542, 2, 0
14.762450, 243, 23.461, 0, 4316, 36.542, 2, 0
15.12692, 243, 23.586, 0, 4315, 36.542, 2, 0
15.262908, 243, 23.698, 0, 4316, 36.542, 2, 0
15.513108, 243, 23.405, 0, 4316, 36.542, 2, 0
15.763353, 243, 23.363, 0, 4315, 36.542, 2, 0
16.13569, 243, 23.283, 0, 4316, 36.542, 2, 0
16.263790, 243, 23.467, 0, 4316, 36.542, 2, 0
16.514018, 243, 23.546, 0, 4316, 36.542, 2, 0
16.764240, 243, 40.922, 0, 4316, 36.542, 2, 0
17.14472, 243, 21.956, 0, 4315, 36.542, 2, 0
17.264714, 243, 23.691, 0, 4315, 36.542, 2, 0
17.514920, 243, 23.596, 0, 4316, 36.542, 2, 0
17.765121, 243, 23.582, 0, 4316, 36.542, 2, 0
18.15314, 243, 23.660, 0, 4316, 36.542, 2, 0
18.265536, 243, 23.485, 0, 4316, 36.542, 2, 0
18.515775, 243, 23.559, 0, 4315, 36.542, 2, 0
18.765999, 243, 23.562, 0, 4316, 36.542, 2, 0
19.16221, 243, 23.808, 0, 4316, 36.542, 2, 0
19.266461, 243, 23.556, 0, 6472, 75.584, 2, 0
19.516668, 243, 23.568, 0, 4316, 75.584, 2, 0
19.766900, 243, 23.824, 0, 4316, 75.584, 2, 0
20.17099, 243, 23.548, 0, 4316, 75.584, 2, 0
20.267302, 243, 33.777, 0, 4316, 75.584, 2, 0
20.517532, 243, 22.588, 0, 4316, 75.584, 2, 0
20.767734, 243, 23.795, 0, 4316, 75.584, 2, 0
21.18140, 244, 25.557, 0, 4312, 75.584, 2, 0
21.268358, 243, 23.196, 0, 4316, 75.584, 2, 0
21.518553, 243, 23.838, 0, 4316, 75.584, 2, 0
21.768777, 243, 23.597, 0, 4316, 75.584, 2, 0
22.18969, 243, 23.780, 0, 4316, 75.584, 2, 0
22.269188, 243, 23.304, 0, 4316, 75.584, 2, 0
22.519385, 243, 23.637, 0, 4316, 75.584, 2, 0
22.769582, 243, 23.401, 0, 4316, 75.584, 2, 0
23.19804, 243, 23.647, 0, 4316, 75.584, 2, 0
23.270094, 243, 23.458, 0, 4315, 75.584, 2, 0
23.520291, 243, 23.531, 0, 4316, 75.584, 2, 0
23.770486, 243, 23.822, 0, 4316, 75.584, 2, 0
24.20680, 243, 23.411, 0, 4316, 75.584, 2, 0
24.270905, 243, 24.549, 0, 4316, 75.584, 2, 0
24.521139, 243, 22.592, 0, 4316, 75.584, 2, 0
24.771361, 243, 23.864, 0, 4316, 75.584, 2, 0
25.21561, 243, 23.538, 0, 4316, 75.584, 2, 0
25.271793, 243, 39.661, 0, 4316, 75.584, 2, 0
25.522011, 243, 22.241, 0, 4316, 59.114, 2, 0
25.772237, 243, 23.839, 0, 6474, 59.114, 2, 0
26.22430, 243, 23.544, 0, 4316, 59.114, 2, 0
26.276499, 243, 23.518, 0, 4250, 59.114, 2, 0
26.526722, 244, 23.695, 0, 4316, 59.114, 2, 0
26.776917, 243, 23.492, 0, 4316, 59.114, 2, 0
27.27139, 243, 23.537, 0, 4316, 59.114, 2, 0
27.277331, 243, 23.561, 0, 4316, 59.114, 2, 0
27.527525, 243, 23.621, 0, 4316, 59.114, 2, 0
27.777770, 243, 23.330, 0, 4315, 59.114, 2, 0
28.27967, 243, 23.739, 0, 4316, 59.114, 2, 0
28.278186, 243, 23.309, 0, 4316, 59.114, 2, 0
28.528376, 243, 23.590, 0, 4316, 59.114, 2, 0
28.778574, 243, 23.551, 0, 4316, 59.114, 2, 0
29.28801, 243, 23.543, 0, 4315, 59.114, 2, 0
29.279047, 243, 24.031, 0, 4315, 59.114, 2, 0
29.529259, 243, 23.605, 0, 4316, 59.114, 2, 0
29.779475, 243, 23.388, 0, 4316, 59.114, 2, 0
30.29673, 243, 23.388, 0, 0, 59.114, 2, 0
30.279895, 243, 23.805, 0, 4316, 59.114, 2, 0
30.530129, 243, 23.625, 0, 4316, 59.114, 2, 0
30.780333, 243, 23.381, 0, 4316, 59.114, 2, 0
31.30548, 243, 27.510, 0, 4316, 59.114, 2, 0
31.280832, 243, 23.201, 0, 4315, 59.114, 2, 0
31.531098, 243, 29.452, 0, 4315, 59.114, 2, 0
31.781325, 243, 23.201, 0, 4316, 59.114, 2, 0
32.31527, 243, 23.636, 0, 6474, 54.377, 2, 0
32.281728, 243, 23.629, 0, 4316, 54.377, 2, 0
32.531965, 243, 25.734, 0, 4316, 54.377, 2, 0
32.782172, 243, 23.279, 0, 4316, 54.377, 2, 0
33.32406, 243, 23.458, 0, 4316, 54.377, 2, 0
33.282613, 243, 23.434, 0, 4316, 54.377, 2, 0
33.532809, 243, 23.393, 0, 4316, 54.377, 2, 0
33.783038, 243, 23.551, 0, 4316, 54.377, 2, 0
34.33234, 243, 23.502, 0, 4316, 54.377, 2, 0
34.283478, 243, 23.744, 0, 4315, 54.377, 2, 0
34.533679, 243, 23.509, 0, 4316, 54.377, 2, 0
34.783905, 243, 23.535, 0, 4316, 54.377, 2, 0
35.34137, 243, 23.657, 0, 4316, 54.377, 2, 0
35.284348, 243, 23.897, 0, 4316, 54.377, 2, 0
35.534575, 243, 23.560, 0, 4316, 54.377, 2, 0
35.784778, 243, 23.513, 0, 4316, 54.377, 2, 0
36.34976, 243, 23.569, 0, 4316, 54.377, 2, 0
36.285201, 243, 23.424, 0, 4316, 54.377, 2, 0
36.535650, 243, 24.105, 0, 4312, 54.377, 2, 0
36.785882, 296, 17.196, 0, 19421, 54.377, 2, 0
37.36099, 1448, 0.348, 207900, 105748, 54.377, 2, 0
37.286339, 113, 3.156, 983340, 0, 54.377, 2, 0
37.536584, 1447, 0.202, 1879200, 21578, 54.377, 2, 0
37.786832, 1447, 0.201, 2770200, 105734, 536.228, 2, 0
38.37079, 162, 2.880, 3432240, 112208, 980.498, 2, 0
38.287316, 242, 7.119, 3407400, 103580, 980.498, 2, 0
38.537557, 243, 23.283, 3394440, 58263, 1385.352, 2, 0
38.787784, 243, 23.288, 3368520, 110058, 1692.922, 2, 0
39.38024, 243, 23.379, 3356640, 51791, 1692.922, 2, 0
39.288247, 54, 16.709, 3333960, 116535, 2167.865, 2, 0
39.538475, 1448, 0.190, 3695220, 110059, 2448.312, 2, 0
39.788723, 213, 0.278, 4469580, 103577, 2448.312, 2, 0
40.38986, 148, 4.674, 5296320, 58255, 2742.330, 2, 1
40.289271, 1361, 0.753, 6110100, 56097, 2742.330, 2, 1
40.539552, 242, 4.223, 6772140, 0, 2742.330, 2, 1
40.789815, 244, 22.834, 6773220, 0, 2742.330, 2, 1
41.40070, 243, 23.488, 6758640, 62576, 2742.330, 2, 1
41.290329, 243, 23.488, 6746220, 49625, 2742.330, 2, 1
41.540611, 243, 30.803, 6734340, 58254, 4188.063, 2, 1
41.808798, 241, 3.330, 6727860, 48327, 4188.063, 2, 1
42.59050, 1447, 0.206, 7100460, 8631, 4188.063, 2, 1
42.309319, 1447, 0.235, 7803000, 53941, 4939.259, 2, 1
42.559591, 1300, 0.322, 8729640, 56098, 5340.301, 2, 1
42.809859, 1448, 0.259, 9534780, 51784, 5340.301, 2, 1
43.60137, 162, 3.962, 10203300, 0, 5340.301, 2, 1
43.310422, 242, 14.800, 10190880, 56097, 5998.841, 2, 1
43.560687, 243, 23.479, 10191960, 0, 5998.841, 2, 1
43.811023, 243, 23.251, 10180080, 51770, 5998.841, 2, 1
44.61295, 243, 23.310, 10181160, 0, 5998.841, 2, 1
44.311629, 54, 15.201, 10173600, 51774, 5998.841, 2, 1
44.561893, 587, 0.285, 10352340, 8630, 7180.849, 2, 1
44.812160, 1336, 0.453, 11194740, 0, 7180.849, 2, 1
45.62425, 587, 0.220, 11970180, 0, 7180.849, 2, 1
45.312692, 1448, 0.260, 12820680, 51783, 7180.849, 2, 1
45.562958, 1447, 0.196, 13592880, 0, 7180.849, 2, 1
45.813231, 242, 3.950, 13678200, 0, 7180.849, 2, 1
46.63474, 243, 22.384, 13679280, 0, 7180.849, 2, 1
46.313752, 243, 23.105, 13667400, 51784, 7180.849, 2, 1
46.563997, 243, 23.261, 13667940, 4314, 9037.293, 2, 1
46.814268, 54, 41.875, 13672260, 0, 9037.293, 2, 1
47.64556, 108, 2.571, 13692240, 0, 9037.293, 2, 1
47.314838, 102, 2.634, 14128560, 694762, 10073.372, 0, 2
47.565102, 199, 3.184, 14898600, 278345, 10415.886, 0, 2
47.815361, 587, 0.271, 15515280, 321507, 10649.034, 0, 2
48.65616, 587, 0.266, 16292340, 250304, 10819.887, 0, 2
48.315870, 162, 2.566, 16768620, 172614, 11077.821, 0, 2
