"No.","Time","Source","Destination","Length","Info","PayloadBT","Payload","Protocol"
"1","0.000000000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"2","0.000129000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"4","0.026188000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"5","0.102816000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"6","0.102921000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"8","0.205646000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"9","0.205766000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"11","0.307325000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"12","0.307447000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"14","0.396191000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"15","0.407354000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"16","0.407433000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"18","0.508291000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"19","0.508318000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"21","0.609662000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"22","0.609690000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"24","0.633643000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"25","0.709542000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"26","0.709568000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"28","0.809411000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"29","0.809488000","localhost ()","remote ()","281","Sent Connection oriented channel","272","","L2CAP"
"31","0.910183000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
