"No.","Time","Source","Destination","Length","Info","PayloadBT","Payload","Protocol"
"2","0.071624000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"3","0.071694000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"5","0.173286000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"6","0.173536000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"8","0.211153000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"9","0.274783000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"10","0.275029000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"12","0.376588000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"13","0.376648000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"15","0.478407000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"16","0.478609000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"18","0.527410000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"19","0.579652000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"20","0.579917000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"22","0.680693000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"23","0.681098000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"25","0.781122000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"26","0.781302000","localhost ()","remote ()","283","Sent Connection oriented channel","274","","L2CAP"
"28","0.881843000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"29","0.882040000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"30","0.933705000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"32","0.983653000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"33","0.983829000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"35","1.085748000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"36","1.085930000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"37","1.187698000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"38","1.187990000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"40","1.250185000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"42","1.287071000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"43","1.287307000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"45","1.387818000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"46","1.387998000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"48","1.411160000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"53","1.489710000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"54","1.489906000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"56","1.591507000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"57","1.591676000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"59","1.692308000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"60","1.692548000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"62","1.757394000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"63","1.793559000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"64","1.793720000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"66","1.895388000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"67","1.895559000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"69","1.996218000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"70","1.996372000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"72","2.093660000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"73","2.097206000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"74","2.097388000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"76","2.199542000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"77","2.199760000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"79","2.301254000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"80","2.301418000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"82","2.318646000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"83","2.402836000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"84","2.402900000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"86","2.504767000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"87","2.504847000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"89","2.606565000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"90","2.606634000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"92","2.629889000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"93","2.707962000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"94","2.708077000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"96","2.809531000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"97","2.809604000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"99","2.910448000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"100","2.910518000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"103","3.012550000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"105","3.012728000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"107","3.366099000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"108","3.366281000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"109","3.366296000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"110","3.366299000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"111","3.366302000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"112","3.366304000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"115","3.430001000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"119","3.488661000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"120","3.488749000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"121","3.488763000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"122","3.516079000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"123","3.516167000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"126","3.552414000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"127","3.617052000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"128","3.617144000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"130","3.718815000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"131","3.718873000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"133","3.822164000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"134","3.822283000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"136","3.859934000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"137","3.924408000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"138","3.924503000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"140","4.025481000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"141","4.025566000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"143","4.126282000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"144","4.126348000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"146","4.214913000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"147","4.227186000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"148","4.227282000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"150","4.329958000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"151","4.330047000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"153","4.430938000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"154","4.431159000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"156","4.486166000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"157","4.532721000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"158","4.532937000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"160","4.634511000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"161","4.634904000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"163","4.737320000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"164","4.737398000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"166","4.757453000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"167","4.838850000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"168","4.838900000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"170","4.940709000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"171","4.940966000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"173","5.042497000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"174","5.042721000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"176","5.067429000","remote ()","localhost ()","14","Rcvd Connection oriented channel","5","","L2CAP"
"177","5.144488000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"178","5.144793000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"180","5.255829000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
"181","5.265471000","localhost ()","remote ()","282","Sent Connection oriented channel","273","","L2CAP"
"183","5.348941000","localhost ()","remote ()","29","Sent Connection oriented channel","20","","L2CAP"
