"No.","Time","Source","Destination","Length","Info","PayloadBT","Payload","Protocol"
"1","0.000000000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x42 [Malformed Packet]","","1448","RSL"
"2","0.000166000","192.168.0.33","192.168.0.4","80","unknown 0x5f [Malformed Packet]","","14","IPA"
"3","0.000270000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x04 [Malformed Packet]","","1448","RSL"
"4","0.000448000","192.168.0.33","192.168.0.4","1514","unknown 0xec [Malformed Packet]","","1448","IPA"
"5","0.000622000","192.168.0.33","192.168.0.4","1514","unknown 0xc8 [Malformed Packet]","","1448","IPA"
"6","0.000936000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=1463 Win=2025 Len=0 TSval=1214366785 TSecr=321328","","0","TCP"
"7","0.001000000","192.168.0.33","192.168.0.4","1178","unknown 0xdc [Malformed Packet]","","1112","IPA"
"8","0.001736000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=6919 Win=2030 Len=0 TSval=1214366785 TSecr=321328","","0","TCP"
"9","0.038937000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x6c [Malformed Packet]","","1448","RSL"
"10","0.039058000","192.168.0.33","192.168.0.4","80","unknown 0xcf [Malformed Packet]","","14","IPA"
"11","0.039168000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x94 [Malformed Packet]","","1448","RSL"
"12","0.039330000","192.168.0.33","192.168.0.4","1514","unknown 0xf5 [Malformed Packet]","","1448","IPA"
"13","0.039482000","192.168.0.33","192.168.0.4","1514","unknown 0x16 [Malformed Packet]","","1448","IPA"
"14","0.039637000","192.168.0.33","192.168.0.4","1514","unknown 0x55 unknown 0x31 [Malformed Packet]","","1448","IPA"
"15","0.039759000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=8381 Win=2025 Len=0 TSval=1214366823 TSecr=321332","","0","TCP"
"16","0.039803000","192.168.0.33","192.168.0.4","122","unknown 0x21 [Malformed Packet]","","56","IPA"
"17","0.039762000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=9829 Win=2048 Len=0 TSval=1214366823 TSecr=321332","","0","TCP"
"18","0.039823000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0xcb [Malformed Packet]","","1448","RSL"
"19","0.039987000","192.168.0.33","192.168.0.4","1514","unknown 0x18 [Malformed Packet]","","1448","IPA"
"20","0.040110000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=12725 Win=2025 Len=0 TSval=1214366823 TSecr=321332","","0","TCP"
"21","0.040369000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=14229 Win=2024 Len=0 TSval=1214366823 TSecr=321332","","0","TCP"
"22","0.040398000","192.168.0.33","192.168.0.4","742","unknown 0x91 [Malformed Packet]","","676","IPA"
"23","0.040551000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=15677 Win=2048 Len=0 TSval=1214366823 TSecr=321332","","0","TCP"
"24","0.040931000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=17801 Win=2037 Len=0 TSval=1214366824 TSecr=321332","","0","TCP"
"25","0.078207000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x8c [Malformed Packet]","","1448","RSL"
"26","0.078338000","192.168.0.33","192.168.0.4","80","unknown 0x1a [Malformed Packet]","","14","IPA"
"27","0.078537000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x86 [Malformed Packet]","","1448","RSL"
"28","0.078753000","192.168.0.33","192.168.0.4","1514","unknown 0x82 [Malformed Packet]","","1448","IPA"
"29","0.078936000","192.168.0.33","192.168.0.4","1514","unknown 0x97 [Malformed Packet]","","1448","IPA"
"30","0.079100000","192.168.0.33","192.168.0.4","1514","unknown 0x1c [Malformed Packet]","","1448","IPA"
"31","0.079143000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=19263 Win=2025 Len=0 TSval=1214366861 TSecr=321336","","0","TCP"
"32","0.079208000","192.168.0.33","192.168.0.4","122","unknown 0xf9 [Malformed Packet]","","56","IPA"
"33","0.079269000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0xcb [Malformed Packet]","","1448","RSL"
"34","0.079430000","192.168.0.33","192.168.0.4","1514","OML [Malformed Packet]","","1448","IPA"
"35","0.079860000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=25111 Win=2024 Len=0 TSval=1214366861 TSecr=321336","","0","TCP"
"36","0.079902000","192.168.0.33","192.168.0.4","379","unknown 0xd6 [Malformed Packet]","","313","IPA"
"37","0.080345000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=28320 Win=2043 Len=0 TSval=1214366862 TSecr=321336","","0","TCP"
"38","0.125482000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x64 [Malformed Packet]","","1448","RSL"
"39","0.125657000","192.168.0.33","192.168.0.4","80","unknown 0x9b [Malformed Packet]","","14","IPA"
"40","0.125777000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x0b [Malformed Packet]","","1448","RSL"
"41","0.125965000","192.168.0.33","192.168.0.4","1514","unknown 0x7e [Malformed Packet]","","1448","IPA"
"42","0.126164000","192.168.0.33","192.168.0.4","1514","unknown 0xa9 [Malformed Packet]","","1448","IPA"
"43","0.126453000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=29782 Win=2025 Len=0 TSval=1214366908 TSecr=321341","","0","TCP"
"44","0.126536000","192.168.0.33","192.168.0.4","1169","SCCP [Malformed Packet]","","1103","IPA"
"45","0.127260000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=35229 Win=2030 Len=0 TSval=1214366908 TSecr=321341","","0","TCP"
"46","0.164075000","192.168.0.33","192.168.0.4","154","unknown 0x01 [Malformed Packet]","","88","IPA"
"47","0.164706000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=35317 Win=2046 Len=0 TSval=1214366946 TSecr=321344","","0","TCP"
"48","0.164793000","192.168.0.33","192.168.0.4","145","unknown 0x01 [Malformed Packet]","","79","IPA"
"49","0.165241000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=35396 Win=2046 Len=0 TSval=1214366946 TSecr=321345","","0","TCP"
"50","0.165275000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x07 [Malformed Packet]","","1448","RSL"
"51","0.165390000","192.168.0.33","192.168.0.4","80","unknown 0x95 [Malformed Packet]","","14","IPA"
"52","0.165602000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0xe5 [Malformed Packet]","","1448","RSL"
"53","0.165809000","192.168.0.33","192.168.0.4","1514","unknown 0x59 [Malformed Packet]","","1448","IPA"
"54","0.166011000","192.168.0.33","192.168.0.4","1514","unknown 0xa0 [Malformed Packet]","","1448","IPA"
"55","0.166013000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=36858 Win=2025 Len=0 TSval=1214366947 TSecr=321345","","0","TCP"
"56","0.166068000","192.168.0.33","192.168.0.4","108","unknown 0x0b [Malformed Packet]","","42","IPA"
"57","0.166213000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0xfa [Malformed Packet]","","1448","RSL"
"58","0.166367000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=38306 Win=2048 Len=0 TSval=1214366947 TSecr=321345","","0","TCP"
"59","0.166456000","192.168.0.33","192.168.0.4","1514","unknown 0xba [Malformed Packet]","","1448","IPA"
"60","0.166701000","192.168.0.33","192.168.0.4","1514","unknown 0x44 [Malformed Packet]","","1448","IPA"
"61","0.166867000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=41202 Win=2025 Len=0 TSval=1214366947 TSecr=321345","","0","TCP"
"62","0.166869000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=41244 Win=2024 Len=0 TSval=1214366947 TSecr=321345","","0","TCP"
"63","0.166907000","192.168.0.33","192.168.0.4","108","SCCP [Malformed Packet]","","42","IPA"
"64","0.166870000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=42692 Win=2048 Len=0 TSval=1214366947 TSecr=321345","","0","TCP"
"65","0.166973000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0xd2 [Malformed Packet]","","1448","RSL"
"66","0.167171000","192.168.0.33","192.168.0.4","1514","unknown 0x24 [Malformed Packet]","","1448","IPA"
"67","0.167350000","192.168.0.33","192.168.0.4","1514","unknown 0x22 [Malformed Packet]","","1448","IPA"
"68","0.167476000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=45588 Win=2025 Len=0 TSval=1214366948 TSecr=321345","","0","TCP"
"69","0.167478000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=45630 Win=2024 Len=0 TSval=1214366948 TSecr=321345","","0","TCP"
"70","0.167521000","192.168.0.33","192.168.0.4","108","unknown 0x17 [Malformed Packet]","","42","IPA"
"71","0.167543000","192.168.0.33","192.168.0.4","1514","unknown 12 unknown 0x39 [Malformed Packet]","","1448","RSL"
"72","0.167728000","192.168.0.33","192.168.0.4","1514","unknown 0xa8 [Malformed Packet]","","1448","IPA"
"73","0.167731000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=47078 Win=2048 Len=0 TSval=1214366948 TSecr=321345","","0","TCP"
"74","0.167923000","192.168.0.33","192.168.0.4","1514","unknown 0xb8 [Malformed Packet]","","1448","IPA"
"75","0.168103000","192.168.0.33","192.168.0.4","1514","unknown 0x2b [Malformed Packet]","","1448","IPA"
"76","0.168189000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=50016 Win=2024 Len=0 TSval=1214366948 TSecr=321345","","0","TCP"
"77","0.168239000","192.168.0.33","192.168.0.4","122","unknown 0xf0 [Malformed Packet]","","56","IPA"
"78","0.168310000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x5b [Malformed Packet]","","1448","RSL"
"79","0.168636000","192.168.0.33","192.168.0.4","1514","unknown 0x6c [Malformed Packet]","","1448","IPA"
"80","0.168971000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=55864 Win=2024 Len=0 TSval=1214366949 TSecr=321345","","0","TCP"
"81","0.169173000","192.168.0.33","192.168.0.4","94","unknown 0x01 [Malformed Packet]","","28","IPA"
"82","0.169742000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=58788 Win=2047 Len=0 TSval=1214366950 TSecr=321345","","0","TCP"
"83","0.170174000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x3c [Malformed Packet]","","1448","RSL"
"84","0.170529000","192.168.0.33","192.168.0.4","80","unknown 0xa1 [Malformed Packet]","","14","IPA"
"85","0.171197000","192.168.0.4","192.168.0.33","66","55546 > 5000 [ACK] Seq=1 Ack=60250 Win=2025 Len=0 TSval=1214366951 TSecr=321345","","0","TCP"
"86","0.171815000","192.168.0.33","192.168.0.4","1514","unknown 0 unknown 0x21 [Malformed Packet]","","1448","RSL"
"87","0.172179000","192.168.0.33","192.168.0.4","80","unknown 0x27 [Malformed Packet]","","14","IPA"
